Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,77.370628,-142.144876,270.000000,top
C2,22uF,C_0805_2012Metric,78.800000,-167.500000,0.000000,top
D1,LED,LED_0603_1608Metric,55.635628,-180.594876,0.000000,top
R1,33R,R_0402_1005Metric,64.650000,-139.000000,90.000000,top
R2,33R,R_0402_1005Metric,66.000000,-136.200000,90.000000,top
R3,4.7k,R_0402_1005Metric,52.610628,-180.594876,0.000000,top
R4,33R,R_0402_1005Metric,96.400000,-136.200000,90.000000,top
R5,33R,R_0402_1005Metric,102.750000,-139.000000,90.000000,top
R6,33R,R_0402_1005Metric,72.300000,-139.000000,90.000000,top
R7,75R,R_0402_1005Metric,79.900000,-139.000000,270.000000,top
R8,75R,R_0402_1005Metric,68.500000,-136.200000,270.000000,top
R9,33R,R_0402_1005Metric,62.100000,-139.000000,90.000000,top
R10,33R,R_0402_1005Metric,97.700000,-139.000000,90.000000,top
R11,33R,R_0402_1005Metric,67.200000,-139.000000,90.000000,top
R12,33R,R_0402_1005Metric,100.200000,-139.000000,90.000000,top
R13,33R,R_0402_1005Metric,71.000000,-136.200000,90.000000,top
R14,22R,R_0402_1005Metric,74.800000,-139.000000,270.000000,top
R15,33R,R_0402_1005Metric,99.000000,-136.200000,90.000000,top
R16,10k,R_0402_1005Metric,63.400000,-139.000000,270.000000,top
R17,4.7k,R_0402_1005Metric,77.350000,-139.000000,90.000000,top
R18,10k,R_0402_1005Metric,69.725000,-136.194876,270.000000,top
R19,5.6k,R_0402_1005Metric,83.725000,-136.200000,270.000000,top
R20,75R,R_0402_1005Metric,86.300000,-136.200000,90.000000,top
R21,33R,R_0402_1005Metric,55.800000,-136.200000,90.000000,top
R22,33R,R_0402_1005Metric,60.900000,-136.200000,90.000000,top
R23,22R,R_0402_1005Metric,91.400000,-136.200000,90.000000,top
R24,33R,R_0402_1005Metric,82.450000,-139.000000,90.000000,top
R25,33R,R_0402_1005Metric,76.100000,-136.200000,90.000000,top
R26,33R,R_0402_1005Metric,92.600000,-139.000000,90.000000,top
R27,33R,R_0402_1005Metric,87.500000,-139.000000,270.000000,top
R28,33R,R_0402_1005Metric,58.350000,-136.200000,90.000000,top
R29,33R,R_0402_1005Metric,88.800000,-136.200000,90.000000,top
R30,22R,R_0402_1005Metric,85.000000,-139.000000,90.000000,top
R31,33R,R_0402_1005Metric,78.700000,-136.200000,90.000000,top
R32,33R,R_0402_1005Metric,81.200000,-136.200000,90.000000,top
R33,33R,R_0402_1005Metric,93.900000,-136.200000,90.000000,top
